Item,Result
Αριθμός σταθμών,29
Monte Carlo παρατηρήσεις ανά σταθμό,1000
Συνολικές Monte Carlo παρατηρήσεις,29000
DEA μοντέλο,BCC
Κλίμακα αποδόσεων,VRS
Προσανατολισμός,Output Oriented
Inputs,"M5, M6, M7"
Outputs,"M1, M2, M3, M4"
Μεταβλητή μεγαλύτερης μεταβλητότητας,M7
Μέγιστο CV (%),85.70857042660343
Αριθμός αποδοτικών σταθμών,22
Αριθμός μη αποδοτικών σταθμών,7
