Variable,Mean,Std_Deviation,Minimum,Maximum,CI95_Lower,CI95_Upper,CV_percent
M1,5.6820065895474015,1.9652442753979202,1.565259910257252,10.043813812565466,5.659387578521337,5.704625600573466,34.587152345320696
M2,89.82737567889521,22.58312727013995,51.1819635415171,153.20957621593084,89.56745480741837,90.08729655037205,25.140584481581175
M3,2.8097451487344918,1.0432445808809907,0.7200018615608585,5.828827048623526,2.7977379082233598,2.8217523892456238,37.129509106933334
M4,1671980.480894386,847970.2157137742,270214.5358608774,5641797.827799835,1662220.7538726039,1681740.2079161683,50.716514062423315
M5,40.90365517241379,26.256967706394626,18.0,115.0,40.60145017454314,41.205860170284446,64.19222828795708
M6,70063.8297959274,45082.18812456552,25963.140802011578,247374.84444103224,69544.95561675588,70582.70397509894,64.3444531306309
M7,8.899103448275863,7.627294346301813,0.0,36.0,8.811316979653226,8.9868899168985,85.70857042660343
