Station,M1,M2,M3,M4,M5,M6,M7,M1_MC,M1_Change_%,M2_MC,M2_Change_%,M3_MC,M3_Change_%,M4_MC,M4_Change_%,M5_MC,M5_Change_%,M6_MC,M6_Change_%,M7_MC,M7_Change_%
LOVE RADIO 97.50,4.8,62.3,2.1,1780900,30,42900,9,4.797262899687161,-0.057022923184139415,62.37023621944664,0.11273871500263517,2.1002750441102167,0.013097338581743605,1780654.4537404398,-0.01378776234264454,30.045,0.15000000000000568,42871.378720808374,-0.06671626851194859,9.03,0.33333333333332626
MAD RADIO,4.2,61.2,1.4,350000,20,30260,3,4.2009699679782555,0.02309447567274586,61.25185923625651,0.08473731414461512,1.4029175996609684,0.20839997578346398,348803.5776034503,-0.3418349704427778,20.084,0.41999999999999815,30295.158362207643,0.11618758165116728,3.017,0.5666666666666635
ΜΕΛΩΔΙΑ FM 99.2,8.7,92.2,4.5,2002130,25,53600,10,8.708122523347255,0.09336233732477581,92.52673509151454,0.35437645500491943,4.485848414978874,-0.3144796671361286,2004557.3419599596,0.12123797954975922,24.981,-0.0759999999999934,53802.17396715863,0.3771902372362554,9.965,-0.3500000000000014
MENTA 88.0 FM,5.4,90.7,2.8,1560000,22,36700,2,5.402071563212478,0.038362281712545895,90.89008968236041,0.20958068617465114,2.796368973650895,-0.129679512468022,1555557.6099757312,-0.28476859129927995,22.061,0.277272727272727,36687.784376551164,-0.03328507751726345,1.997,-0.14999999999999458
ΜΟΥΣΙΚΟΣ,4.3,99.3,2.4,1450000,37,45600,3,4.3058333331351495,0.13565891011975967,99.44095632644711,0.14194997628107786,2.3984269901831174,-0.06554207570343604,1450861.0788967663,0.05938475150112384,37.005,0.013513513513520429,45368.18931947878,-0.5083567555289974,3.025,0.8333333333333304
MUSIC 89.2,3.7,63.1,1.3,1350700,36,63000,1,3.7021334299819473,0.057660269782354036,62.98317352408712,-0.1851449697509989,1.3010422357101843,0.08017197770648055,1347986.5172252657,-0.2008945565065717,35.977,-0.06388888888889789,63248.32500851025,0.3941666801749971,1.05,5.000000000000004
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,3.6,131.3,2.7,1000200,45,67800,7,3.6040376511376535,0.11215697604592832,131.54383991406817,0.1857120442255606,2.7045787743070044,0.16958423359275046,999016.1348373583,-0.11836284369543505,45.021,0.04666666666666843,67681.8714570741,-0.17423088927123975,6.976,-0.34285714285714314
PEPPER 96.6,5.7,115.1,3.7,1250000,27,43700,4,5.68719533380322,-0.22464326661018325,115.13744853834835,0.03253565451638347,3.6929796983498453,-0.1897378824366184,1246364.5957802748,-0.2908323375780135,26.978,-0.0814814814814758,43647.370768839886,-0.1204330232496881,3.977,-0.5750000000000033
REAL FM 97.8,7.9,120.4,5.3,2180000,87,89700,16,7.8824360099689095,-0.2223289877353276,120.66400286574546,0.21927148317728704,5.292210398667463,-0.14697361004785806,2177698.1225774717,-0.1055907074554285,87.067,0.07701149425286559,89895.15038442845,0.21755895699938155,16.011,0.0687499999999952
RED 96.3,7.8,70.4,3.1,1605100,21,45110,2,7.795430486886461,-0.058583501455631515,70.30172138530091,-0.13960030497030892,3.1012018243466573,0.038768527311521465,1600273.2354374067,-0.3007142584632302,21.057,0.2714285714285648,45180.30145512628,0.15584450260758642,2.032,1.6000000000000014
ATHENS ROCK FM,7.2,66.9,2.7,1007200,24,30980,10,7.193268682104999,-0.09349052631946186,66.82802988218334,-0.10757865144493517,2.700710468301112,0.02631364078192138,1007062.6632866918,-0.013635495761341902,23.976,-0.1000000000000038,30984.611406672597,0.01488510869140344,9.981,-0.19000000000000128
ΡΥΘΜΟΣ 9 49,8.2,69.4,3.2,2130600,28,49890,18,8.203042235528244,0.03710043327127652,69.28968284021583,-0.15895844349304564,3.2049039739346865,0.15324918545894795,2125817.4783282885,-0.22446830337517448,28.02,0.07142857142856991,49678.31594245185,-0.42430157856914696,17.967,-0.1833333333333403
SFERA 102.2,6.8,78.8,3.0,3105000,45,101230,18,6.797327182263014,-0.039306143190972545,78.92421854263209,0.1576377444569708,2.998751714579889,-0.04160951400370057,3095865.257840898,-0.29419459449604224,45.053,0.11777777777777171,101381.66706254067,0.14982422457835579,18.016,0.08888888888887911
SKAI 100.3,9.3,96.0,5.0,4530000,110,220900,31,9.30678529229256,0.07296013217805229,95.85256316235491,-0.15358003921363367,5.001683242342819,0.03366484685637161,4541724.044024245,0.25880891885750296,110.074,0.06727272727272551,221394.32474198853,0.22377761067837487,31.034,0.10967741935483523
ΣΠΟΡ FM 94.6,6.1,81.6,2.8,2300200,97,103890,15,6.109959586068011,0.16327190275428333,81.5325615503476,-0.08264515888774494,2.804349307004821,0.15533239302932347,2296213.835232292,-0.17329644238362593,97.008,0.0082474226804078,103903.88844168923,0.013368410519997253,14.936,-0.426666666666667
SPORT 24 RADIO 103.3,4.2,121.4,2.9,1890000,86,114900,16,4.208786157945535,0.20919423679844315,121.58500875379988,0.1523960080723867,2.9093719043951687,0.3231691170747853,1890620.405079196,0.032825665565924575,85.942,-0.06744186046512435,114999.42877205843,0.08653504965920386,15.962,-0.2375000000000016
ΣΤΟ ΚΟΚΚΙΝΟ,1.9,130.8,1.4,980000,35,65300,5,1.9009307375407043,0.048986186352862365,130.93204434000737,0.10095133028085192,1.3995082389509086,-0.03512578922080869,981085.5107422585,0.11076640227127688,34.996,-0.011428571428565095,65254.295971764506,-0.06999085487824463,4.983,-0.34000000000000696
